id_demande,id_etudiant,id_staff,type_demande,date_soumission,date_resolution,resolu_premier_contact,satisfaction_service,delai_jours
11395,2029,626,Équivalence,2021-10-25,2021-11-05,Oui,4,11
11396,1608,630,Autre,2023-08-29,2023-09-06,Oui,4,8
11397,1922,615,Bourse,2023-10-01,2023-10-15,Oui,5,14
11398,1889,616,Relevé de notes,2024-04-08,2024-04-16,Oui,5,8
11399,1947,611,Attestation,2021-10-03,2021-10-04,Oui,4,1
11400,1394,621,Relevé de notes,2024-08-10,2024-08-13,Non,4,3
11401,1459,619,Relevé de notes,2022-12-26,2023-01-09,Non,3,14
11402,1579,623,Attestation,2024-04-15,2024-04-28,Oui,2,13
11403,2152,617,Équivalence,2024-02-06,2024-02-14,Oui,3,8
11404,1915,608,Autre,2024-03-08,2024-03-09,Oui,3,1
11405,1825,601,Bourse,2023-02-18,2023-03-04,Oui,2,14
11406,1431,605,Attestation,2022-02-14,2022-02-22,Oui,2,8
11407,1681,617,Équivalence,2022-11-21,2022-11-22,Oui,5,1
11408,2041,617,Attestation,2024-12-09,2024-12-12,Oui,2,3
11409,1710,611,Équivalence,2022-07-18,2022-07-28,Oui,4,10
11410,1447,602,Autre,2025-02-18,2025-03-03,Oui,5,13
11411,2021,627,Attestation,2024-09-05,2024-09-09,Oui,4,4
11412,2193,624,Attestation,2025-01-08,2025-01-20,Non,5,12
11413,1261,607,Attestation,2021-09-21,2021-09-28,Oui,3,7
11414,1628,610,Autre,2023-04-01,2023-04-05,Oui,1,4
11415,2008,610,Équivalence,2024-10-27,2024-11-10,Oui,1,14
11416,1585,618,Équivalence,2025-03-30,2025-04-08,Non,4,9
11417,1901,625,Relevé de notes,2022-05-13,2022-05-15,Oui,3,2
11418,1648,627,Autre,2025-01-31,2025-02-09,Oui,4,9
11419,1414,614,Bourse,2023-01-04,2023-01-09,Oui,1,5
11420,1214,614,Relevé de notes,2025-02-15,2025-02-20,Oui,4,5
11421,1545,601,Autre,2024-03-21,2024-03-24,Non,5,3
11422,2147,622,Équivalence,2023-10-18,2023-10-21,Oui,1,3
11423,1506,605,Attestation,2022-02-18,2022-03-05,Oui,3,15
11424,1920,602,Attestation,2023-11-25,2023-12-02,Oui,5,7
11425,1953,604,Équivalence,2022-02-04,2022-02-13,Oui,1,9
11426,1684,623,Autre,2021-09-15,2021-09-20,Oui,5,5
11427,1093,616,Attestation,2025-01-08,2025-01-11,Oui,5,3
11428,1046,605,Relevé de notes,2025-01-28,2025-02-06,Oui,1,9
11429,2138,619,Équivalence,2023-01-10,2023-01-12,Oui,1,2
11430,1391,630,Bourse,2023-06-04,2023-06-05,Non,4,1
11431,1185,616,Relevé de notes,2022-04-12,2022-04-26,Non,3,14
11432,1526,630,Attestation,2022-03-04,2022-03-12,Oui,3,8
11433,1708,612,Bourse,2023-12-14,2023-12-28,Oui,3,14
11434,1376,608,Relevé de notes,2022-02-23,2022-03-08,Oui,3,13
11435,1154,614,Bourse,2023-09-16,2023-09-26,Oui,5,10
11436,1842,613,Relevé de notes,2022-02-26,2022-03-04,Oui,1,6
11437,1410,608,Autre,2022-10-08,2022-10-15,Non,4,7
11438,1819,611,Attestation,2023-05-24,2023-06-02,Oui,1,9
11439,1604,609,Relevé de notes,2024-03-03,2024-03-18,Oui,3,15
11440,1650,628,Attestation,2022-09-03,2022-09-18,Oui,1,15
11441,1847,612,Relevé de notes,2024-11-04,2024-11-06,Oui,4,2
11442,1041,626,Équivalence,2023-02-14,2023-02-22,Non,4,8
11443,1983,616,Autre,2025-02-08,2025-02-15,Oui,1,7
11444,1133,610,Bourse,2022-10-31,2022-11-05,Non,2,5
11445,1565,618,Équivalence,2023-03-16,2023-03-30,Oui,3,14
11446,1648,607,Bourse,2024-12-09,2024-12-11,Oui,1,2
11447,1544,607,Bourse,2024-11-12,2024-11-13,Non,1,1
11448,1081,629,Équivalence,2024-08-02,2024-08-07,Non,2,5
11449,1528,621,Équivalence,2025-01-08,2025-01-11,Non,3,3
11450,1419,605,Équivalence,2022-03-21,2022-04-03,Non,1,13
11451,1613,620,Autre,2021-12-10,2021-12-11,Oui,1,1
11452,1574,625,Relevé de notes,2022-08-21,2022-08-28,Oui,5,7
11453,1967,623,Attestation,2023-02-26,2023-03-11,Oui,5,13
11454,2180,626,Relevé de notes,2024-10-23,2024-10-25,Oui,1,2
11455,1195,613,Relevé de notes,2023-09-13,2023-09-14,Oui,2,1
11456,1311,622,Relevé de notes,2024-11-04,2024-11-15,Oui,4,11
11457,2194,608,Relevé de notes,2022-05-19,2022-05-25,Oui,5,6
11458,2003,624,Attestation,2024-01-26,2024-02-01,Non,1,6
11459,1601,619,Attestation,2025-01-27,2025-01-30,Oui,2,3
11460,1434,601,Attestation,2024-07-13,2024-07-26,Oui,4,13
11461,1490,625,Autre,2022-08-21,2022-09-04,Oui,1,14
11462,1349,609,Bourse,2024-07-16,2024-07-20,Non,1,4
11463,2169,603,Équivalence,2023-12-28,2024-01-05,Oui,4,8
11464,2174,614,Attestation,2023-11-29,2023-12-01,Oui,4,2
11465,1175,604,Équivalence,2025-02-22,2025-03-07,Non,2,13
11466,1306,608,Relevé de notes,2025-02-07,2025-02-22,Oui,3,15
11467,1510,624,Relevé de notes,2024-11-01,2024-11-03,Oui,3,2
11468,1765,608,Bourse,2022-10-28,2022-10-30,Non,4,2
11469,2113,628,Équivalence,2022-08-10,2022-08-22,Non,2,12
11470,1046,625,Bourse,2023-05-31,2023-06-06,Oui,1,6
11471,1213,609,Équivalence,2024-11-20,2024-11-25,Non,4,5
11472,1879,618,Relevé de notes,2022-03-04,2022-03-17,Oui,5,13
11473,1355,603,Autre,2025-02-01,2025-02-10,Oui,2,9
11474,1791,618,Relevé de notes,2023-04-18,2023-04-23,Oui,1,5
11475,1769,605,Autre,2023-11-29,2023-12-03,Oui,4,4
11476,2072,614,Bourse,2021-09-09,2021-09-13,Oui,4,4
11477,1333,607,Relevé de notes,2022-12-17,2022-12-20,Non,2,3
11478,1887,607,Équivalence,2023-01-30,2023-02-02,Oui,5,3
11479,2050,624,Attestation,2022-11-14,2022-11-21,Oui,2,7
11480,1214,610,Bourse,2023-07-30,2023-08-04,Oui,2,5
11481,1994,627,Autre,2024-08-03,2024-08-16,Oui,3,13
11482,1016,609,Bourse,2024-05-04,2024-05-10,Oui,4,6
11483,1185,615,Équivalence,2023-04-03,2023-04-15,Oui,3,12
11484,1551,603,Attestation,2022-11-14,2022-11-19,Oui,3,5
11485,1614,622,Attestation,2024-03-27,2024-04-06,Oui,4,10
11486,1717,607,Relevé de notes,2023-06-21,2023-06-24,Oui,5,3
11487,1263,609,Bourse,2023-01-19,2023-01-30,Oui,3,11
11488,1476,609,Bourse,2024-09-06,2024-09-19,Oui,1,13
11489,1756,611,Attestation,2024-11-25,2024-12-05,Non,5,10
11490,1921,616,Bourse,2025-04-28,2025-05-10,Oui,3,12
11491,2114,626,Attestation,2024-06-08,2024-06-11,Oui,3,3
11492,1877,614,Relevé de notes,2024-03-11,2024-03-12,Oui,3,1
11493,1879,606,Relevé de notes,2021-09-02,2021-09-04,Oui,1,2
11494,1919,615,Attestation,2023-05-09,2023-05-13,Non,3,4
11495,1585,618,Équivalence,2025-02-06,2025-02-20,Oui,2,14
11496,1513,619,Relevé de notes,2023-04-01,2023-04-10,Non,4,9
11497,1353,630,Autre,2022-04-28,2022-05-04,Non,2,6
11498,1871,618,Relevé de notes,2021-09-12,2021-09-18,Non,1,6
11499,1097,617,Relevé de notes,2024-10-21,2024-11-04,Oui,1,14
11500,2029,628,Attestation,2024-04-28,2024-05-09,Oui,5,11
11501,1374,606,Attestation,2024-06-24,2024-07-03,Non,5,9
11502,1363,621,Attestation,2022-05-23,2022-05-29,Non,1,6
11503,1561,625,Relevé de notes,2025-04-17,2025-04-29,Non,2,12
11504,1531,616,Autre,2025-03-24,2025-03-30,Oui,1,6
11505,1322,616,Autre,2022-11-08,2022-11-09,Non,2,1
11506,2189,601,Relevé de notes,2024-12-17,2024-12-31,Oui,3,14
11507,1032,626,Relevé de notes,2022-02-25,2022-02-26,Non,2,1
11508,2150,630,Relevé de notes,2024-05-09,2024-05-19,Oui,3,10
11509,2169,627,Autre,2024-04-07,2024-04-17,Oui,5,10
11510,1514,630,Relevé de notes,2023-01-21,2023-01-27,Non,2,6
11511,1070,608,Relevé de notes,2024-02-01,2024-02-14,Non,2,13
11512,2129,601,Équivalence,2023-05-07,2023-05-08,Oui,4,1
11513,1026,608,Équivalence,2025-04-07,2025-04-08,Oui,5,1
11514,1217,626,Bourse,2022-04-02,2022-04-10,Oui,1,8
11515,1672,605,Bourse,2023-10-18,2023-10-27,Non,4,9
11516,2045,629,Autre,2021-09-28,2021-10-07,Oui,5,9
11517,2180,606,Attestation,2023-09-27,2023-10-11,Non,5,14
11518,1734,603,Relevé de notes,2023-07-01,2023-07-03,Non,2,2
11519,2045,614,Équivalence,2025-04-16,2025-04-30,Non,1,14
11520,2195,620,Équivalence,2021-10-15,2021-10-25,Oui,3,10
11521,1225,604,Équivalence,2024-11-27,2024-12-02,Oui,1,5
11522,1128,608,Équivalence,2023-10-05,2023-10-15,Oui,3,10
11523,2001,608,Équivalence,2024-06-22,2024-07-04,Oui,2,12
11524,1044,625,Attestation,2023-08-06,2023-08-16,Non,2,10
11525,2180,614,Autre,2023-06-10,2023-06-20,Oui,3,10
11526,1418,609,Relevé de notes,2024-08-03,2024-08-15,Oui,2,12
11527,1905,618,Équivalence,2024-10-30,2024-11-14,Oui,4,15
11528,1640,622,Relevé de notes,2022-01-31,2022-02-06,Oui,5,6
11529,1664,626,Équivalence,2023-07-28,2023-08-08,Non,1,11
11530,1900,622,Équivalence,2024-12-04,2024-12-09,Oui,1,5
11531,1181,620,Attestation,2021-12-01,2021-12-09,Oui,1,8
11532,1387,608,Équivalence,2022-12-20,2022-12-26,Oui,2,6
11533,1305,604,Équivalence,2023-08-17,2023-08-27,Oui,2,10
11534,1023,611,Attestation,2022-10-19,2022-10-24,Non,3,5
11535,2113,621,Équivalence,2023-06-19,2023-06-28,Non,4,9
11536,1226,622,Bourse,2023-01-21,2023-02-04,Oui,2,14
11537,1116,613,Attestation,2024-09-14,2024-09-22,Non,1,8
11538,1299,628,Attestation,2023-08-04,2023-08-09,Oui,1,5
11539,2025,620,Bourse,2024-08-04,2024-08-17,Oui,5,13
11540,1235,620,Relevé de notes,2023-02-08,2023-02-18,Non,4,10
11541,2190,611,Attestation,2023-06-29,2023-07-10,Non,4,11
11542,1807,621,Équivalence,2022-10-26,2022-10-30,Non,4,4
11543,1246,609,Relevé de notes,2023-05-19,2023-05-28,Oui,1,9
11544,1923,629,Bourse,2022-11-21,2022-12-04,Oui,1,13
11545,1191,619,Autre,2021-09-02,2021-09-14,Non,1,12
11546,1221,601,Équivalence,2022-04-28,2022-05-12,Non,2,14
11547,1372,609,Bourse,2024-10-12,2024-10-15,Oui,2,3
11548,1712,625,Bourse,2022-07-23,2022-07-30,Non,5,7
11549,2053,620,Autre,2023-06-06,2023-06-08,Oui,1,2
11550,1998,617,Bourse,2025-04-07,2025-04-17,Oui,3,10
11551,1231,612,Bourse,2022-01-12,2022-01-20,Oui,2,8
11552,2143,629,Attestation,2023-11-30,2023-12-10,Oui,2,10
11553,1526,618,Autre,2023-03-07,2023-03-13,Oui,2,6
11554,1559,602,Autre,2021-10-29,2021-11-03,Non,1,5
11555,1143,602,Attestation,2025-01-28,2025-02-12,Non,4,15
11556,1821,620,Autre,2024-12-15,2024-12-21,Oui,1,6
11557,1443,607,Relevé de notes,2025-01-17,2025-01-26,Non,1,9
11558,1345,613,Équivalence,2023-11-24,2023-12-02,Non,3,8
11559,1487,623,Attestation,2021-10-06,2021-10-19,Oui,4,13
11560,1690,619,Autre,2023-08-12,2023-08-13,Non,5,1
11561,1882,609,Attestation,2021-10-26,2021-11-06,Oui,5,11
11562,1770,615,Attestation,2022-04-25,2022-04-26,Oui,1,1
11563,1905,620,Équivalence,2024-11-22,2024-11-24,Non,3,2
11564,1668,620,Relevé de notes,2022-03-20,2022-03-21,Oui,1,1
11565,1673,607,Équivalence,2024-09-11,2024-09-18,Oui,3,7
11566,1725,623,Bourse,2024-11-30,2024-12-05,Oui,5,5
11567,1386,603,Autre,2022-10-06,2022-10-16,Non,3,10
11568,1681,609,Autre,2024-02-08,2024-02-15,Oui,2,7
11569,1947,617,Attestation,2023-02-06,2023-02-21,Oui,2,15
11570,2123,617,Attestation,2023-12-20,2023-12-29,Non,1,9
11571,2143,628,Équivalence,2024-04-18,2024-04-29,Non,2,11
11572,1166,620,Équivalence,2022-08-27,2022-08-28,Oui,1,1
11573,1447,601,Équivalence,2025-03-10,2025-03-24,Oui,5,14
11574,1868,605,Relevé de notes,2022-05-06,2022-05-14,Oui,2,8
11575,2088,618,Attestation,2023-07-02,2023-07-08,Non,1,6
11576,1239,606,Équivalence,2025-04-17,2025-04-29,Non,4,12
11577,1743,628,Attestation,2024-01-06,2024-01-08,Oui,5,2
11578,2030,628,Bourse,2021-10-31,2021-11-08,Oui,3,8
11579,1797,615,Équivalence,2022-05-18,2022-05-23,Non,1,5
11580,1285,626,Bourse,2022-01-04,2022-01-09,Non,5,5
11581,1843,611,Équivalence,2024-02-26,2024-03-12,Oui,1,15
11582,1526,610,Bourse,2022-09-12,2022-09-18,Oui,5,6
11583,1903,619,Bourse,2023-05-11,2023-05-24,Oui,1,13
11584,1131,609,Autre,2025-01-01,2025-01-08,Non,5,7
11585,1137,627,Bourse,2021-10-07,2021-10-21,Oui,1,14
11586,1686,610,Bourse,2024-12-17,2024-12-18,Oui,3,1
11587,1349,621,Bourse,2024-11-14,2024-11-21,Oui,2,7
11588,1716,608,Autre,2022-04-13,2022-04-20,Non,5,7
11589,1445,626,Autre,2024-03-24,2024-04-07,Oui,1,14
11590,1827,613,Équivalence,2024-03-25,2024-04-09,Oui,4,15
11591,1311,628,Bourse,2023-09-01,2023-09-13,Oui,3,12
11592,1493,604,Bourse,2022-09-08,2022-09-09,Oui,4,1
11593,2012,601,Équivalence,2024-12-20,2024-12-30,Oui,3,10
11594,1210,605,Bourse,2024-10-16,2024-10-18,Oui,3,2
11595,1969,615,Autre,2021-12-29,2022-01-11,Oui,2,13
11596,1671,602,Autre,2024-02-10,2024-02-14,Non,4,4
11597,1211,619,Relevé de notes,2024-07-14,2024-07-15,Oui,2,1
11598,1857,614,Relevé de notes,2024-03-30,2024-04-01,Non,2,2
11599,1469,612,Relevé de notes,2025-01-26,2025-02-06,Non,4,11
11600,1945,621,Équivalence,2021-09-03,2021-09-05,Oui,2,2
