id_participation,id_etudiant,id_club,annee_universitaire,role
17730,1994,16013,2022-2023,Membre
17731,2150,16003,2022-2023,Membre
17732,1834,16014,2024-2025,Membre
17733,1548,16006,2020-2021,Membre
17734,1260,16012,2022-2023,Membre
17735,2013,16001,2021-2022,Membre
17736,2013,16014,2023-2024,Membre
17737,2025,16006,2020-2021,Membre
17738,1867,16015,2023-2024,Membre
17739,2008,16006,2021-2022,Membre
17740,1153,16002,2023-2024,Membre
17741,1153,16006,2020-2021,Membre
17742,1050,16014,2022-2023,Membre
17743,1050,16002,2024-2025,Membre
17744,2111,16015,2021-2022,Membre
17745,1045,16001,2020-2021,Membre
17746,1045,16003,2020-2021,Membre
17747,1124,16007,2020-2021,Membre
17748,1704,16010,2024-2025,Membre
17749,1088,16004,2021-2022,Membre
17750,2126,16010,2024-2025,Membre
17751,2148,16014,2022-2023,Membre
17752,2148,16011,2022-2023,Membre
17753,1702,16002,2021-2022,Vice-Président
17754,1702,16003,2023-2024,Vice-Président
