id_inscription,id_etudiant,annee_universitaire,type,date_inscription,filiere,niveau,annee
2706,1282,2021-2022,Nouveau,2020-12-02,Génie Electrique,S1,2021-2022
2707,1282,2021-2022,Réinscrit,2020-10-25,Génie Electrique,S3,2021-2022
2708,1283,2023-2024,Nouveau,2019-11-22,Finance & Comptabilité,S6,2023-2024
2709,1283,2021-2022,Réinscrit,2019-07-24,Finance & Comptabilité,S3,2021-2022
2710,1283,2020-2021,Réinscrit,2022-11-26,Finance & Comptabilité,S1,2020-2021
2711,1283,2022-2023,Réinscrit,2019-05-22,Finance & Comptabilité,S3,2022-2023
2712,1284,2024-2025,Nouveau,2021-04-19,Génie Civil,S4,2024-2025
2713,1285,2020-2021,Nouveau,2018-10-09,Génie Civil,S1,2020-2021
2714,1285,2022-2023,Réinscrit,2018-09-30,Génie Civil,S6,2022-2023
2715,1285,2024-2025,Réinscrit,2019-02-19,Génie Civil,S1,2024-2025
2716,1285,2021-2022,Réinscrit,2024-07-10,Génie Civil,S1,2021-2022
2717,1286,2024-2025,Nouveau,2024-07-01,Génie Electrique,S3,2024-2025
2718,1286,2023-2024,Réinscrit,2023-12-22,Génie Electrique,S3,2023-2024
2719,1286,2024-2025,Réinscrit,2023-06-26,Génie Electrique,S3,2024-2025
2720,1286,2022-2023,Réinscrit,2022-07-07,Génie Electrique,S3,2022-2023
2721,1287,2022-2023,Nouveau,2023-02-19,Génie Informatique,S4,2022-2023
2722,1287,2024-2025,Réinscrit,2019-04-23,Génie Informatique,S3,2024-2025
2723,1288,2020-2021,Nouveau,2018-09-13,Finance & Comptabilité,S4,2020-2021
2724,1288,2023-2024,Réinscrit,2020-03-22,Finance & Comptabilité,S1,2023-2024
2725,1288,2024-2025,Réinscrit,2020-01-17,Finance & Comptabilité,S5,2024-2025
2726,1289,2021-2022,Nouveau,2022-10-19,Marketing,S4,2021-2022
2727,1289,2024-2025,Réinscrit,2023-12-30,Marketing,S5,2024-2025
2728,1289,2023-2024,Réinscrit,2020-10-09,Marketing,S1,2023-2024
2729,1290,2020-2021,Nouveau,2022-09-15,Droit des Affaires,S1,2020-2021
2730,1290,2022-2023,Réinscrit,2023-08-25,Droit des Affaires,S2,2022-2023
2731,1290,2024-2025,Réinscrit,2024-02-06,Droit des Affaires,S4,2024-2025
2732,1291,2022-2023,Nouveau,2023-06-19,Génie Informatique,S4,2022-2023
2733,1292,2023-2024,Nouveau,2021-12-17,Marketing,S5,2023-2024
2734,1293,2021-2022,Nouveau,2024-07-01,Finance & Comptabilité,S5,2021-2022
2735,1293,2024-2025,Réinscrit,2019-01-09,Finance & Comptabilité,S2,2024-2025
2736,1294,2020-2021,Nouveau,2022-01-17,Génie Electrique,S6,2020-2021
2737,1294,2024-2025,Réinscrit,2023-11-26,Génie Electrique,S2,2024-2025
2738,1294,2023-2024,Réinscrit,2019-12-18,Génie Electrique,S4,2023-2024
2739,1294,2024-2025,Réinscrit,2021-05-14,Génie Electrique,S2,2024-2025
2740,1295,2021-2022,Nouveau,2019-09-02,Génie Informatique,S1,2021-2022
2741,1295,2023-2024,Réinscrit,2018-12-29,Génie Informatique,S2,2023-2024
2742,1296,2023-2024,Nouveau,2021-10-23,Finance & Comptabilité,S2,2023-2024
2743,1296,2022-2023,Réinscrit,2024-01-03,Finance & Comptabilité,S6,2022-2023
2744,1296,2020-2021,Réinscrit,2020-03-10,Finance & Comptabilité,S5,2020-2021
2745,1297,2020-2021,Nouveau,2022-05-26,Marketing,S2,2020-2021
2746,1297,2024-2025,Réinscrit,2019-05-23,Marketing,S6,2024-2025
2747,1297,2022-2023,Réinscrit,2022-11-23,Marketing,S6,2022-2023
2748,1297,2023-2024,Réinscrit,2023-07-26,Marketing,S2,2023-2024
2749,1298,2022-2023,Nouveau,2019-12-18,Finance & Comptabilité,S3,2022-2023
2750,1298,2020-2021,Réinscrit,2019-12-01,Finance & Comptabilité,S1,2020-2021
2751,1299,2024-2025,Nouveau,2020-10-10,Droit des Affaires,S6,2024-2025
2752,1299,2020-2021,Réinscrit,2022-10-16,Droit des Affaires,S2,2020-2021
2753,1299,2022-2023,Réinscrit,2022-12-06,Droit des Affaires,S5,2022-2023
2754,1300,2022-2023,Nouveau,2019-05-12,Génie Civil,S5,2022-2023
2755,1301,2023-2024,Nouveau,2023-06-02,Génie Civil,S3,2023-2024
2756,1301,2022-2023,Réinscrit,2020-01-31,Génie Civil,S5,2022-2023
2757,1302,2020-2021,Nouveau,2023-02-06,Finance & Comptabilité,S1,2020-2021
2758,1302,2024-2025,Réinscrit,2023-10-31,Finance & Comptabilité,S3,2024-2025
2759,1303,2022-2023,Nouveau,2021-02-13,Marketing,S4,2022-2023
2760,1303,2023-2024,Réinscrit,2020-04-26,Marketing,S5,2023-2024
2761,1304,2021-2022,Nouveau,2019-01-19,Génie Civil,S5,2021-2022
2762,1304,2022-2023,Réinscrit,2022-02-17,Génie Civil,S5,2022-2023
2763,1304,2020-2021,Réinscrit,2021-09-25,Génie Civil,S6,2020-2021
2764,1305,2021-2022,Nouveau,2024-03-20,Finance & Comptabilité,S3,2021-2022
2765,1305,2023-2024,Réinscrit,2019-04-29,Finance & Comptabilité,S3,2023-2024
2766,1305,2021-2022,Réinscrit,2021-01-10,Finance & Comptabilité,S6,2021-2022
2767,1305,2021-2022,Réinscrit,2019-04-04,Finance & Comptabilité,S2,2021-2022
2768,1306,2023-2024,Nouveau,2022-01-08,Finance & Comptabilité,S6,2023-2024
2769,1306,2021-2022,Réinscrit,2018-11-28,Finance & Comptabilité,S5,2021-2022
2770,1306,2023-2024,Réinscrit,2022-06-14,Finance & Comptabilité,S4,2023-2024
2771,1306,2023-2024,Réinscrit,2022-07-28,Finance & Comptabilité,S4,2023-2024
2772,1307,2020-2021,Nouveau,2024-08-02,Droit des Affaires,S6,2020-2021
2773,1307,2022-2023,Réinscrit,2021-10-31,Droit des Affaires,S6,2022-2023
2774,1307,2021-2022,Réinscrit,2023-01-30,Droit des Affaires,S1,2021-2022
2775,1307,2021-2022,Réinscrit,2022-04-17,Droit des Affaires,S5,2021-2022
2776,1308,2022-2023,Nouveau,2023-10-19,Marketing,S6,2022-2023
2777,1309,2024-2025,Nouveau,2020-03-17,Génie Civil,S4,2024-2025
2778,1309,2023-2024,Réinscrit,2021-12-06,Génie Civil,S2,2023-2024
2779,1310,2021-2022,Nouveau,2020-11-10,Marketing,S6,2021-2022
2780,1310,2020-2021,Réinscrit,2022-09-23,Marketing,S6,2020-2021
2781,1311,2021-2022,Nouveau,2022-11-21,Marketing,S4,2021-2022
2782,1312,2020-2021,Nouveau,2019-09-29,Droit des Affaires,S3,2020-2021
2783,1312,2023-2024,Réinscrit,2020-09-05,Droit des Affaires,S1,2023-2024
2784,1313,2024-2025,Nouveau,2022-06-18,Marketing,S5,2024-2025
2785,1314,2021-2022,Nouveau,2023-03-13,Génie Civil,S2,2021-2022
2786,1314,2020-2021,Réinscrit,2019-12-31,Génie Civil,S2,2020-2021
2787,1314,2023-2024,Réinscrit,2024-02-23,Génie Civil,S3,2023-2024
2788,1314,2024-2025,Réinscrit,2020-08-07,Génie Civil,S6,2024-2025
2789,1315,2020-2021,Nouveau,2023-11-13,Génie Civil,S6,2020-2021
2790,1315,2023-2024,Réinscrit,2021-10-02,Génie Civil,S6,2023-2024
2791,1315,2023-2024,Réinscrit,2022-10-14,Génie Civil,S1,2023-2024
2792,1315,2020-2021,Réinscrit,2019-12-22,Génie Civil,S1,2020-2021
2793,1316,2023-2024,Nouveau,2024-05-19,Génie Informatique,S2,2023-2024
2794,1317,2024-2025,Nouveau,2024-01-17,Génie Electrique,S3,2024-2025
2795,1318,2024-2025,Nouveau,2020-09-11,Finance & Comptabilité,S4,2024-2025
2796,1319,2023-2024,Nouveau,2022-01-05,Génie Electrique,S5,2023-2024
2797,1319,2021-2022,Réinscrit,2019-10-13,Génie Electrique,S3,2021-2022
2798,1319,2020-2021,Réinscrit,2024-09-10,Génie Electrique,S2,2020-2021
2799,1319,2023-2024,Réinscrit,2018-11-20,Génie Electrique,S4,2023-2024
2800,1320,2020-2021,Nouveau,2024-06-26,Droit des Affaires,S5,2020-2021
2801,1320,2024-2025,Réinscrit,2020-01-22,Droit des Affaires,S2,2024-2025
2802,1320,2020-2021,Réinscrit,2020-09-10,Droit des Affaires,S5,2020-2021
2803,1320,2021-2022,Réinscrit,2018-09-22,Droit des Affaires,S5,2021-2022
2804,1321,2022-2023,Nouveau,2020-01-17,Marketing,S1,2022-2023
2805,1321,2021-2022,Réinscrit,2020-12-23,Marketing,S6,2021-2022
2806,1321,2021-2022,Réinscrit,2019-08-26,Marketing,S5,2021-2022
2807,1321,2022-2023,Réinscrit,2019-01-22,Marketing,S1,2022-2023
2808,1322,2024-2025,Nouveau,2022-01-05,Génie Informatique,S3,2024-2025
2809,1323,2023-2024,Nouveau,2018-09-01,Génie Informatique,S2,2023-2024
2810,1323,2022-2023,Réinscrit,2019-03-09,Génie Informatique,S5,2022-2023
2811,1324,2024-2025,Nouveau,2023-08-28,Droit des Affaires,S2,2024-2025
2812,1324,2024-2025,Réinscrit,2024-03-01,Droit des Affaires,S6,2024-2025
2813,1324,2022-2023,Réinscrit,2024-07-11,Droit des Affaires,S3,2022-2023
2814,1325,2020-2021,Nouveau,2019-03-03,Finance & Comptabilité,S2,2020-2021
2815,1325,2020-2021,Réinscrit,2020-10-10,Finance & Comptabilité,S2,2020-2021
2816,1326,2021-2022,Nouveau,2020-03-03,Finance & Comptabilité,S5,2021-2022
2817,1326,2024-2025,Réinscrit,2021-02-01,Finance & Comptabilité,S5,2024-2025
2818,1326,2022-2023,Réinscrit,2021-10-11,Finance & Comptabilité,S2,2022-2023
2819,1327,2020-2021,Nouveau,2021-07-11,Génie Electrique,S3,2020-2021
2820,1327,2023-2024,Réinscrit,2020-06-30,Génie Electrique,S4,2023-2024
2821,1327,2023-2024,Réinscrit,2019-08-08,Génie Electrique,S3,2023-2024
2822,1327,2023-2024,Réinscrit,2020-04-09,Génie Electrique,S5,2023-2024
2823,1328,2020-2021,Nouveau,2021-09-08,Génie Electrique,S6,2020-2021
2824,1328,2021-2022,Réinscrit,2022-11-03,Génie Electrique,S5,2021-2022
2825,1329,2023-2024,Nouveau,2020-05-21,Génie Civil,S3,2023-2024
2826,1329,2023-2024,Réinscrit,2022-12-01,Génie Civil,S1,2023-2024
2827,1330,2020-2021,Nouveau,2021-09-11,Génie Electrique,S1,2020-2021
2828,1330,2024-2025,Réinscrit,2019-11-25,Génie Electrique,S6,2024-2025
2829,1331,2020-2021,Nouveau,2022-05-12,Génie Electrique,S6,2020-2021
2830,1331,2020-2021,Réinscrit,2022-09-26,Génie Electrique,S3,2020-2021
2831,1331,2022-2023,Réinscrit,2020-04-22,Génie Electrique,S2,2022-2023
2832,1331,2022-2023,Réinscrit,2018-10-11,Génie Electrique,S1,2022-2023
2833,1332,2021-2022,Nouveau,2022-11-29,Marketing,S1,2021-2022
2834,1332,2020-2021,Réinscrit,2020-08-20,Marketing,S5,2020-2021
2835,1332,2022-2023,Réinscrit,2024-02-27,Marketing,S1,2022-2023
2836,1332,2024-2025,Réinscrit,2022-07-31,Marketing,S6,2024-2025
2837,1333,2024-2025,Nouveau,2021-09-15,Droit des Affaires,S5,2024-2025
2838,1333,2020-2021,Réinscrit,2019-03-16,Droit des Affaires,S2,2020-2021
2839,1333,2022-2023,Réinscrit,2023-01-13,Droit des Affaires,S2,2022-2023
2840,1334,2024-2025,Nouveau,2023-03-08,Génie Informatique,S4,2024-2025
2841,1334,2024-2025,Réinscrit,2020-02-05,Génie Informatique,S3,2024-2025
2842,1334,2020-2021,Réinscrit,2024-06-04,Génie Informatique,S6,2020-2021
2843,1335,2021-2022,Nouveau,2020-04-07,Génie Electrique,S4,2021-2022
2844,1335,2024-2025,Réinscrit,2021-08-31,Génie Electrique,S1,2024-2025
2845,1336,2021-2022,Nouveau,2023-05-11,Génie Civil,S6,2021-2022
2846,1336,2023-2024,Réinscrit,2020-09-19,Génie Civil,S4,2023-2024
2847,1336,2022-2023,Réinscrit,2023-12-03,Génie Civil,S5,2022-2023
2848,1337,2022-2023,Nouveau,2023-06-19,Génie Electrique,S5,2022-2023
2849,1337,2021-2022,Réinscrit,2022-02-02,Génie Electrique,S6,2021-2022
2850,1337,2020-2021,Réinscrit,2022-02-03,Génie Electrique,S4,2020-2021
2851,1338,2020-2021,Nouveau,2019-07-23,Marketing,S1,2020-2021
2852,1338,2021-2022,Réinscrit,2019-09-19,Marketing,S2,2021-2022
2853,1338,2024-2025,Réinscrit,2019-04-24,Marketing,S1,2024-2025
2854,1339,2024-2025,Nouveau,2024-03-11,Finance & Comptabilité,S1,2024-2025
2855,1339,2023-2024,Réinscrit,2024-05-15,Finance & Comptabilité,S6,2023-2024
2856,1339,2021-2022,Réinscrit,2024-01-17,Finance & Comptabilité,S4,2021-2022
2857,1340,2023-2024,Nouveau,2018-10-27,Marketing,S5,2023-2024
2858,1341,2020-2021,Nouveau,2023-06-07,Génie Civil,S6,2020-2021
2859,1341,2024-2025,Réinscrit,2022-07-15,Génie Civil,S2,2024-2025
2860,1342,2024-2025,Nouveau,2023-09-12,Finance & Comptabilité,S2,2024-2025
2861,1343,2021-2022,Nouveau,2019-07-05,Génie Informatique,S3,2021-2022
2862,1343,2021-2022,Réinscrit,2024-06-05,Génie Informatique,S3,2021-2022
2863,1344,2023-2024,Nouveau,2024-03-22,Génie Civil,S4,2023-2024
2864,1345,2022-2023,Nouveau,2019-12-08,Génie Civil,S3,2022-2023
2865,1345,2021-2022,Réinscrit,2024-09-17,Génie Civil,S1,2021-2022
2866,1346,2022-2023,Nouveau,2024-01-31,Droit des Affaires,S3,2022-2023
2867,1346,2022-2023,Réinscrit,2021-01-20,Droit des Affaires,S1,2022-2023
2868,1346,2024-2025,Réinscrit,2023-01-30,Droit des Affaires,S2,2024-2025
2869,1347,2024-2025,Nouveau,2019-01-24,Génie Electrique,S4,2024-2025
2870,1347,2024-2025,Réinscrit,2024-02-21,Génie Electrique,S1,2024-2025
2871,1347,2022-2023,Réinscrit,2018-09-25,Génie Electrique,S5,2022-2023
2872,1348,2022-2023,Nouveau,2022-01-05,Génie Civil,S3,2022-2023
2873,1348,2020-2021,Réinscrit,2018-09-22,Génie Civil,S3,2020-2021
2874,1348,2021-2022,Réinscrit,2023-03-05,Génie Civil,S3,2021-2022
2875,1348,2020-2021,Réinscrit,2019-10-21,Génie Civil,S4,2020-2021
2876,1349,2021-2022,Nouveau,2019-08-14,Droit des Affaires,S5,2021-2022
2877,1349,2024-2025,Réinscrit,2020-05-22,Droit des Affaires,S4,2024-2025
2878,1349,2020-2021,Réinscrit,2024-02-18,Droit des Affaires,S1,2020-2021
2879,1349,2021-2022,Réinscrit,2021-06-21,Droit des Affaires,S2,2021-2022
2880,1350,2023-2024,Nouveau,2022-11-12,Génie Informatique,S3,2023-2024
2881,1350,2022-2023,Réinscrit,2023-06-21,Génie Informatique,S2,2022-2023
2882,1350,2024-2025,Réinscrit,2021-09-08,Génie Informatique,S1,2024-2025
2883,1350,2023-2024,Réinscrit,2023-08-05,Génie Informatique,S2,2023-2024
2884,1351,2022-2023,Nouveau,2023-07-14,Génie Informatique,S1,2022-2023
2885,1351,2022-2023,Réinscrit,2020-11-21,Génie Informatique,S1,2022-2023
2886,1352,2022-2023,Nouveau,2019-02-12,Droit des Affaires,S2,2022-2023
2887,1352,2023-2024,Réinscrit,2023-05-22,Droit des Affaires,S6,2023-2024
2888,1353,2020-2021,Nouveau,2020-06-18,Génie Informatique,S6,2020-2021
2889,1353,2021-2022,Réinscrit,2024-01-16,Génie Informatique,S6,2021-2022
2890,1353,2022-2023,Réinscrit,2019-12-31,Génie Informatique,S4,2022-2023
2891,1354,2024-2025,Nouveau,2024-03-22,Génie Civil,S6,2024-2025
2892,1354,2021-2022,Réinscrit,2022-04-23,Génie Civil,S4,2021-2022
2893,1354,2024-2025,Réinscrit,2023-01-10,Génie Civil,S2,2024-2025
2894,1354,2020-2021,Réinscrit,2019-11-16,Génie Civil,S1,2020-2021
2895,1355,2021-2022,Nouveau,2022-07-11,Marketing,S5,2021-2022
2896,1355,2020-2021,Réinscrit,2021-04-26,Marketing,S1,2020-2021
2897,1356,2023-2024,Nouveau,2018-10-03,Génie Civil,S4,2023-2024
2898,1356,2023-2024,Réinscrit,2021-11-29,Génie Civil,S3,2023-2024
2899,1356,2023-2024,Réinscrit,2019-08-05,Génie Civil,S4,2023-2024
2900,1357,2024-2025,Nouveau,2020-05-17,Génie Electrique,S6,2024-2025
2901,1357,2024-2025,Réinscrit,2020-10-05,Génie Electrique,S2,2024-2025
2902,1358,2020-2021,Nouveau,2021-08-15,Génie Informatique,S6,2020-2021
2903,1358,2021-2022,Réinscrit,2023-06-24,Génie Informatique,S2,2021-2022
2904,1358,2023-2024,Réinscrit,2019-10-28,Génie Informatique,S6,2023-2024
2905,1359,2021-2022,Nouveau,2020-05-02,Génie Electrique,S2,2021-2022
2906,1359,2020-2021,Réinscrit,2020-02-24,Génie Electrique,S4,2020-2021
2907,1360,2022-2023,Nouveau,2020-10-27,Droit des Affaires,S2,2022-2023
2908,1361,2020-2021,Nouveau,2020-11-26,Génie Informatique,S1,2020-2021
2909,1361,2020-2021,Réinscrit,2022-12-06,Génie Informatique,S4,2020-2021
2910,1361,2024-2025,Réinscrit,2022-02-07,Génie Informatique,S6,2024-2025
2911,1361,2021-2022,Réinscrit,2021-02-25,Génie Informatique,S3,2021-2022
2912,1362,2023-2024,Nouveau,2019-05-10,Génie Electrique,S5,2023-2024
2913,1362,2023-2024,Réinscrit,2019-03-31,Génie Electrique,S3,2023-2024
2914,1362,2020-2021,Réinscrit,2021-09-07,Génie Electrique,S3,2020-2021
2915,1362,2022-2023,Réinscrit,2022-08-08,Génie Electrique,S6,2022-2023
2916,1363,2021-2022,Nouveau,2022-04-03,Finance & Comptabilité,S1,2021-2022
2917,1363,2021-2022,Réinscrit,2019-02-15,Finance & Comptabilité,S1,2021-2022
2918,1363,2020-2021,Réinscrit,2022-04-10,Finance & Comptabilité,S2,2020-2021
2919,1363,2022-2023,Réinscrit,2023-12-17,Finance & Comptabilité,S3,2022-2023
2920,1364,2023-2024,Nouveau,2020-09-27,Finance & Comptabilité,S3,2023-2024
2921,1365,2022-2023,Nouveau,2022-06-01,Génie Informatique,S3,2022-2023
2922,1365,2020-2021,Réinscrit,2019-10-02,Génie Informatique,S6,2020-2021
2923,1365,2020-2021,Réinscrit,2020-02-16,Génie Informatique,S3,2020-2021
2924,1365,2022-2023,Réinscrit,2022-09-20,Génie Informatique,S6,2022-2023
2925,1366,2021-2022,Nouveau,2021-10-05,Génie Electrique,S2,2021-2022
2926,1366,2024-2025,Réinscrit,2022-12-22,Génie Electrique,S1,2024-2025
2927,1366,2020-2021,Réinscrit,2020-02-17,Génie Electrique,S6,2020-2021
2928,1367,2020-2021,Nouveau,2020-10-20,Génie Civil,S2,2020-2021
2929,1368,2020-2021,Nouveau,2019-07-04,Droit des Affaires,S5,2020-2021
2930,1368,2024-2025,Réinscrit,2022-07-06,Droit des Affaires,S3,2024-2025
2931,1368,2023-2024,Réinscrit,2020-12-06,Droit des Affaires,S5,2023-2024
2932,1368,2021-2022,Réinscrit,2019-02-27,Droit des Affaires,S2,2021-2022
2933,1369,2023-2024,Nouveau,2021-07-01,Marketing,S5,2023-2024
2934,1369,2022-2023,Réinscrit,2022-10-09,Marketing,S4,2022-2023
2935,1370,2023-2024,Nouveau,2019-06-05,Génie Civil,S4,2023-2024
2936,1371,2024-2025,Nouveau,2024-04-25,Génie Civil,S1,2024-2025
2937,1371,2021-2022,Réinscrit,2021-09-27,Génie Civil,S6,2021-2022
2938,1371,2021-2022,Réinscrit,2021-11-30,Génie Civil,S1,2021-2022
2939,1371,2024-2025,Réinscrit,2019-05-08,Génie Civil,S6,2024-2025
2940,1372,2023-2024,Nouveau,2024-03-20,Marketing,S6,2023-2024
2941,1372,2024-2025,Réinscrit,2024-06-04,Marketing,S1,2024-2025
2942,1373,2023-2024,Nouveau,2024-05-18,Marketing,S4,2023-2024
2943,1373,2024-2025,Réinscrit,2023-01-16,Marketing,S4,2024-2025
2944,1374,2021-2022,Nouveau,2020-09-23,Génie Electrique,S1,2021-2022
2945,1374,2021-2022,Réinscrit,2021-02-09,Génie Electrique,S5,2021-2022
2946,1374,2020-2021,Réinscrit,2024-06-01,Génie Electrique,S4,2020-2021
2947,1375,2022-2023,Nouveau,2021-02-19,Marketing,S3,2022-2023
2948,1375,2022-2023,Réinscrit,2020-01-01,Marketing,S2,2022-2023
2949,1375,2021-2022,Réinscrit,2019-03-06,Marketing,S5,2021-2022
2950,1376,2022-2023,Nouveau,2019-02-08,Finance & Comptabilité,S6,2022-2023
2951,1376,2021-2022,Réinscrit,2021-10-12,Finance & Comptabilité,S2,2021-2022
2952,1377,2020-2021,Nouveau,2021-06-16,Marketing,S2,2020-2021
2953,1377,2024-2025,Réinscrit,2019-12-20,Marketing,S1,2024-2025
2954,1377,2022-2023,Réinscrit,2022-10-21,Marketing,S3,2022-2023
2955,1378,2024-2025,Nouveau,2021-08-17,Droit des Affaires,S6,2024-2025
2956,1379,2023-2024,Nouveau,2021-12-21,Génie Civil,S3,2023-2024
2957,1379,2020-2021,Réinscrit,2018-10-13,Génie Civil,S3,2020-2021
2958,1380,2022-2023,Nouveau,2020-08-24,Droit des Affaires,S3,2022-2023
2959,1380,2020-2021,Réinscrit,2024-09-10,Droit des Affaires,S6,2020-2021
2960,1381,2023-2024,Nouveau,2021-07-21,Droit des Affaires,S6,2023-2024
2961,1382,2023-2024,Nouveau,2021-02-20,Droit des Affaires,S3,2023-2024
2962,1382,2022-2023,Réinscrit,2020-12-14,Droit des Affaires,S5,2022-2023
2963,1383,2021-2022,Nouveau,2023-09-02,Génie Informatique,S2,2021-2022
2964,1383,2023-2024,Réinscrit,2022-10-19,Génie Informatique,S2,2023-2024
2965,1383,2023-2024,Réinscrit,2019-09-19,Génie Informatique,S4,2023-2024
2966,1383,2021-2022,Réinscrit,2023-10-26,Génie Informatique,S2,2021-2022
2967,1384,2021-2022,Nouveau,2024-03-02,Finance & Comptabilité,S6,2021-2022
2968,1384,2021-2022,Réinscrit,2021-10-30,Finance & Comptabilité,S1,2021-2022
2969,1385,2021-2022,Nouveau,2020-08-28,Marketing,S4,2021-2022
2970,1385,2024-2025,Réinscrit,2020-10-09,Marketing,S1,2024-2025
2971,1385,2021-2022,Réinscrit,2019-06-23,Marketing,S4,2021-2022
2972,1386,2023-2024,Nouveau,2023-03-07,Droit des Affaires,S1,2023-2024
2973,1386,2024-2025,Réinscrit,2020-03-16,Droit des Affaires,S6,2024-2025
2974,1387,2024-2025,Nouveau,2019-10-14,Marketing,S4,2024-2025
2975,1388,2020-2021,Nouveau,2019-11-25,Génie Informatique,S1,2020-2021
2976,1388,2020-2021,Réinscrit,2020-02-24,Génie Informatique,S2,2020-2021
2977,1388,2020-2021,Réinscrit,2021-09-01,Génie Informatique,S2,2020-2021
2978,1388,2024-2025,Réinscrit,2018-10-26,Génie Informatique,S1,2024-2025
2979,1389,2024-2025,Nouveau,2022-06-18,Génie Electrique,S6,2024-2025
2980,1390,2021-2022,Nouveau,2020-03-24,Génie Civil,S4,2021-2022
2981,1391,2021-2022,Nouveau,2022-02-11,Génie Informatique,S3,2021-2022
2982,1391,2023-2024,Réinscrit,2020-05-25,Génie Informatique,S2,2023-2024
2983,1391,2020-2021,Réinscrit,2021-08-31,Génie Informatique,S6,2020-2021
2984,1391,2024-2025,Réinscrit,2020-01-18,Génie Informatique,S1,2024-2025
2985,1392,2020-2021,Nouveau,2021-12-29,Génie Electrique,S1,2020-2021
2986,1393,2021-2022,Nouveau,2018-09-05,Génie Civil,S2,2021-2022
2987,1393,2020-2021,Réinscrit,2021-03-17,Génie Civil,S4,2020-2021
2988,1393,2023-2024,Réinscrit,2020-04-26,Génie Civil,S3,2023-2024
2989,1393,2022-2023,Réinscrit,2021-03-14,Génie Civil,S6,2022-2023
2990,1394,2020-2021,Nouveau,2024-03-07,Droit des Affaires,S2,2020-2021
2991,1394,2020-2021,Réinscrit,2021-03-08,Droit des Affaires,S1,2020-2021
2992,1394,2022-2023,Réinscrit,2022-09-03,Droit des Affaires,S1,2022-2023
2993,1394,2024-2025,Réinscrit,2022-05-29,Droit des Affaires,S1,2024-2025
2994,1395,2020-2021,Nouveau,2019-02-25,Marketing,S5,2020-2021
2995,1395,2021-2022,Réinscrit,2020-08-30,Marketing,S4,2021-2022
2996,1395,2024-2025,Réinscrit,2022-06-03,Marketing,S5,2024-2025
2997,1396,2023-2024,Nouveau,2020-05-08,Génie Electrique,S6,2023-2024
2998,1396,2022-2023,Réinscrit,2021-11-19,Génie Electrique,S3,2022-2023
2999,1397,2022-2023,Nouveau,2024-04-06,Génie Informatique,S6,2022-2023
3000,1398,2022-2023,Nouveau,2019-07-10,Finance & Comptabilité,S1,2022-2023
3001,1398,2021-2022,Réinscrit,2020-04-23,Finance & Comptabilité,S3,2021-2022
3002,1398,2021-2022,Réinscrit,2023-01-17,Finance & Comptabilité,S4,2021-2022
3003,1399,2020-2021,Nouveau,2019-12-08,Droit des Affaires,S5,2020-2021
3004,1399,2023-2024,Réinscrit,2021-10-15,Droit des Affaires,S2,2023-2024
3005,1399,2020-2021,Réinscrit,2022-04-16,Droit des Affaires,S2,2020-2021
3006,1399,2021-2022,Réinscrit,2022-12-26,Droit des Affaires,S3,2021-2022
3007,1400,2023-2024,Nouveau,2023-06-03,Génie Informatique,S4,2023-2024
3008,1400,2023-2024,Réinscrit,2022-05-28,Génie Informatique,S2,2023-2024
3009,1400,2021-2022,Réinscrit,2022-12-18,Génie Informatique,S4,2021-2022
3010,1401,2024-2025,Nouveau,2024-08-26,Génie Informatique,S4,2024-2025
3011,1401,2024-2025,Réinscrit,2024-09-05,Génie Informatique,S2,2024-2025
3012,1401,2023-2024,Réinscrit,2019-08-09,Génie Informatique,S5,2023-2024
3013,1401,2023-2024,Réinscrit,2024-07-29,Génie Informatique,S5,2023-2024
3014,1402,2020-2021,Nouveau,2021-04-21,Finance & Comptabilité,S3,2020-2021
3015,1402,2020-2021,Réinscrit,2020-12-11,Finance & Comptabilité,S1,2020-2021
3016,1403,2024-2025,Nouveau,2023-12-25,Droit des Affaires,S2,2024-2025
3017,1403,2020-2021,Réinscrit,2019-05-03,Droit des Affaires,S3,2020-2021
3018,1403,2022-2023,Réinscrit,2020-03-24,Droit des Affaires,S3,2022-2023
3019,1404,2021-2022,Nouveau,2023-05-22,Génie Electrique,S2,2021-2022
3020,1404,2021-2022,Réinscrit,2021-03-08,Génie Electrique,S1,2021-2022
3021,1404,2021-2022,Réinscrit,2019-12-25,Génie Electrique,S6,2021-2022
3022,1404,2021-2022,Réinscrit,2022-11-25,Génie Electrique,S6,2021-2022
3023,1405,2023-2024,Nouveau,2022-11-01,Droit des Affaires,S1,2023-2024
3024,1406,2024-2025,Nouveau,2019-06-30,Droit des Affaires,S4,2024-2025
3025,1407,2020-2021,Nouveau,2020-04-24,Génie Electrique,S3,2020-2021
3026,1407,2021-2022,Réinscrit,2019-07-21,Génie Electrique,S2,2021-2022
3027,1408,2020-2021,Nouveau,2023-05-03,Génie Informatique,S2,2020-2021
3028,1409,2023-2024,Nouveau,2020-03-27,Génie Informatique,S6,2023-2024
3029,1409,2024-2025,Réinscrit,2022-01-09,Génie Informatique,S4,2024-2025
3030,1410,2022-2023,Nouveau,2023-08-24,Génie Electrique,S6,2022-2023
3031,1410,2020-2021,Réinscrit,2021-11-18,Génie Electrique,S1,2020-2021
3032,1410,2021-2022,Réinscrit,2019-05-04,Génie Electrique,S6,2021-2022
